
Run date 2022-01-19 17:46:50.303591
Sample 11

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  1681.0  1618.0   1.039
       2  1665.0  1725.0   0.965
       3  1815.0  1598.0   1.136
       4  1577.0  1601.0   0.985
       5  1624.0  1528.0   1.063
       6  1502.0  1492.0   1.007
       7  1613.0  1512.0   1.067
       8  1557.0  1511.0   1.030
       9  1633.0  1493.0   1.094
      10  1530.0  1420.0   1.077
      11  1507.0  1671.0   0.902
      12  1645.0  1690.0   0.973
      13  1611.0  1698.0   0.949
      14  1553.0  1610.0   0.965
      15  1545.0  1529.0   1.010
      16  1472.0  1399.0   1.052
      17  1568.0  1530.0   1.025
      18  1404.0  1332.0   1.054
      19  1538.0  1437.0   1.070
      20  1429.0  1379.0   1.036
      21  1386.0  1417.0   0.978
      22  1459.0  1485.0   0.982
      23  1460.0  1417.0   1.030
      24  1384.0  1394.0   0.993
      25  1437.0  1420.0   1.012
      26  1683.0  1421.0   1.184
      27  1366.0  1461.0   0.935
      28  1424.0  1566.0   0.909
      29  1382.0  1346.0   1.027
      30  1455.0  1399.0   1.040
      31  1394.0  1420.0   0.982
      32  1363.0  1328.0   1.026
      33  1206.0  1298.0   0.929
      34  1415.0  1463.0   0.967
      35  1531.0  1364.0   1.122
      36  1301.0  1292.0   1.007
      37  1302.0  1247.0   1.044
      38  1309.0  1367.0   0.958
      39  1304.0  1240.0   1.052
      40  1158.0  1268.0   0.913
      41  1342.0  1218.0   1.102
      42  1237.0  1170.0   1.057
      43  1194.0  1242.0   0.961
      44  1224.0  1180.0   1.037
      45  1086.0  1174.0   0.925
      46  1213.0  1108.0   1.095
      47  1119.0  1062.0   1.054
      48  1089.0  1204.0   0.904
      49  1224.0  1091.0   1.122
      50  1060.0  1166.0   0.909
      51  1152.0  1142.0   1.009
      52  1153.0  1092.0   1.056
      53  1020.0  1059.0   0.963
      54  1045.0   973.0   1.074
      55   956.0   955.0   1.001
      56   968.0  1033.0   0.937
      57  1046.0  1065.0   0.982
      58  1011.0   960.0   1.053
      59  1009.0   977.0   1.033
      60   954.0  1051.0   0.908
      61  1042.0   987.0   1.056
      62  1064.0  1122.0   0.948


Run date 2022-01-19 18:21:43.737217
Sample 11

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  1144.0   973.0   1.176
       2   919.0   981.0   0.937
       3  1063.0  1006.0   1.057
       4  1139.0  1177.0   0.968
       5  1118.0  1131.0   0.989
       6  1126.0  1002.0   1.124
       7  1004.0  1041.0   0.964
       8  1147.0  1103.0   1.040
       9  1185.0  1191.0   0.995
      10  1051.0   984.0   1.068
      11  1136.0  1143.0   0.994
      12  1092.0  1155.0   0.945
      13  1289.0  1294.0   0.996
      14  1268.0  1115.0   1.137
      15  1114.0  1188.0   0.938
      16  1166.0  1113.0   1.048
      17  1083.0  1077.0   1.006
      18  1185.0  1098.0   1.079
      19  1107.0  1088.0   1.017
      20  1003.0  1042.0   0.963
      21  1092.0  1090.0   1.002
      22  1088.0  1032.0   1.054
      23  1060.0  1023.0   1.036
      24  1082.0  1259.0   0.859
      25  1164.0  1053.0   1.105
      26   999.0  1082.0   0.923
      27  1011.0  1018.0   0.993
      28  1036.0  1107.0   0.936
      29  1021.0  1019.0   1.002
      30  1054.0  1091.0   0.966
      31  1089.0  1103.0   0.987
      32  1076.0  1101.0   0.977
      33  1067.0   903.0   1.182
      34   868.0   977.0   0.888
      35   922.0   914.0   1.009
      36  1001.0   958.0   1.045
      37   940.0  1065.0   0.883
      38  1011.0   931.0   1.086
      39   956.0   910.0   1.051
      40   865.0   920.0   0.940
      41   903.0   942.0   0.959
      42   996.0  1043.0   0.955
      43  1062.0   893.0   1.189
      44   990.0   991.0   0.999
      45  1012.0  1002.0   1.010
      46   952.0   905.0   1.052
      47   934.0   927.0   1.008
      48  1039.0   916.0   1.134
      49   856.0   910.0   0.941
      50   800.0   844.0   0.948
      51   846.0   926.0   0.914
      52  1027.0   913.0   1.125
      53  1024.0   902.0   1.135
      54   945.0   912.0   1.036
      55   937.0   994.0   0.943
      56   878.0   824.0   1.066
      57   852.0   940.0   0.906
      58   940.0   964.0   0.975
      59   971.0   858.0   1.132
      60   836.0   846.0   0.988
      61   862.0   972.0   0.887
      62   906.0   902.0   1.004

