
Run date 2022-01-18 17:52:32.562050
Sample 19

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  7767.0  7595.0   1.023
       2  7292.0  6589.0   1.107
       3  5309.0  4236.0   1.253
       4  3363.0  2718.0   1.237
       5  2134.0  1645.0   1.297
       6  1377.0  1128.0   1.221
       7   966.0   836.0   1.156
       8   736.0   622.0   1.183
       9   529.0   476.0   1.111
      10  4147.0  3756.0   1.104
      11  3150.0  2774.0   1.136
      12  2682.0  2956.0   0.907
      13  2744.0  2249.0   1.220
      14  2053.0  1863.0   1.102
      15  1647.0  1491.0   1.105
      16  1370.0  1155.0   1.186
      17  1005.0   871.0   1.154
      18   724.0  1969.0   0.368
      19  1733.0  1483.0   1.169
      20  1217.0  1016.0   1.198
      21   841.0   717.0   1.173
      22   606.0   496.0   1.222
      23  3198.0  3942.0   0.811
      24  3764.0  3490.0   1.079
      25  3305.0  3154.0   1.048
      26  3107.0  3017.0   1.030
      27  2920.0  2890.0   1.010
      28  2801.0  2727.0   1.027
      29  2713.0  2891.0   0.938
      30  3067.0  3284.0   0.934
      31  3502.0  3521.0   0.995
      32  3563.0  3843.0   0.927
      33  4077.0  4368.0   0.933
      34  4461.0  4325.0   1.031
      35  4328.0  4659.0   0.929
      36  4946.0  4934.0   1.002
      37  4866.0  5160.0   0.943
      38  5372.0  5385.0   0.998
      39  5255.0  5216.0   1.007
      40  5382.0  5577.0   0.965
      41  5972.0  5976.0   0.999
      42  5957.0  6092.0   0.978
      43  6051.0  6273.0   0.965
      44  6300.0  6268.0   1.005
      45  6259.0  6126.0   1.022
      46  5871.0  5537.0   1.060
      47  5406.0  5343.0   1.012
      48  5337.0  5058.0   1.055
      49  4702.0  4476.0   1.050
      50  4646.0  4838.0   0.960
      51  4555.0  4235.0   1.076
      52  3827.0  3717.0   1.030
      53  3980.0  3938.0   1.011
      54  3750.0  3563.0   1.052
      55  3415.0  3246.0   1.052
      56  3291.0  3050.0   1.079
      57  2886.0  2888.0   0.999
      58  2778.0  2874.0   0.967
      59  3008.0  2890.0   1.041
      60  2995.0  3189.0   0.939
      61  3083.0  3099.0   0.995
      62  3175.0  3110.0   1.021

