
Run date 2022-01-18 18:33:41.225679
Sample 21

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  4081.0   826.0   4.941
       2  2211.0  1744.0   1.268
       3  1361.0  1059.0   1.285
       4   809.0   530.0   1.526
       5   930.0   411.0   2.263
       6   625.0   511.0   1.223
       7  1773.0  2739.0   0.647
       8  1094.0   833.0   1.313
       9   666.0   604.0   1.103
      10  3991.0  5849.0   0.682
      11  5745.0  5433.0   1.057
      12  5161.0  4918.0   1.049
      13  4836.0  4909.0   0.985
      14  4776.0  4581.0   1.043
      15  4453.0  4352.0   1.023
      16  4088.0  3776.0   1.083
      17  3660.0  3529.0   1.037
      18  3529.0  3557.0   0.992
      19  3458.0  3329.0   1.039
      20  3349.0  3188.0   1.051
      21  2862.0  2961.0   0.967
      22  3264.0  3418.0   0.955
      23  3355.0  3168.0   1.059
      24  3053.0  3069.0   0.995
      25  3049.0  2978.0   1.024
      26  2988.0  3009.0   0.993
      27  3100.0  3182.0   0.974
      28  3272.0  3197.0   1.023
      29  2993.0  2927.0   1.023
      30  2860.0  2929.0   0.976
      31  2741.0  2692.0   1.018
      32  2778.0  2847.0   0.976
      33  2891.0  2899.0   0.997
      34  2832.0  2994.0   0.946
      35  3163.0  3093.0   1.023
      36  2858.0  2963.0   0.965
      37  3184.0  3309.0   0.962
      38  3268.0  3310.0   0.987
      39  3359.0  3193.0   1.052
      40  2858.0  2750.0   1.039
      41  3039.0  2799.0   1.086
      42  2751.0  2708.0   1.016
      43  2646.0  2679.0   0.988
      44  2938.0  2973.0   0.988
      45  2996.0  2791.0   1.073
      46  2938.0  2672.0   1.100
      47  2943.0  3052.0   0.964
      48  2980.0  3074.0   0.969
      49  2937.0  3094.0   0.949
      50  2889.0  2832.0   1.020
      51  2835.0  2760.0   1.027
      52  2821.0  2933.0   0.962
      53  2929.0  3017.0   0.971
      54  3298.0  3182.0   1.036
      55  3367.0  3292.0   1.023
      56  3203.0  3055.0   1.048
      57  2922.0  2799.0   1.044
      58  2640.0  2673.0   0.988
      59  2663.0  2655.0   1.003
      60  2845.0  2670.0   1.066
      61  2462.0  2850.0   0.864
      62  2794.0  2967.0   0.942

