
Run date 2022-01-18 13:08:50.122143
Sample 5

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  6848.0  6418.0   1.067
       2  6113.0  5947.0   1.028
       3  5864.0  5544.0   1.058
       4  5439.0  5287.0   1.029
       5  5447.0  5626.0   0.968
       6  5608.0  5528.0   1.014
       7  5489.0  5703.0   0.962
       8  5605.0  5343.0   1.049
       9  5612.0  5757.0   0.975
      10  5892.0  5531.0   1.065
      11  5366.0  5138.0   1.044
      12  5156.0  5267.0   0.979
      13  5095.0  5089.0   1.001
      14  5027.0  5021.0   1.001
      15  4660.0  4671.0   0.998
      16  4641.0  4795.0   0.968
      17  4955.0  5034.0   0.984
      18  4961.0  4984.0   0.995
      19  5086.0  4980.0   1.021
      20  4919.0  4982.0   0.987
      21  4978.0  4845.0   1.027
      22  4787.0  4788.0   1.000
      23  5010.0  4866.0   1.030
      24  4608.0  4408.0   1.045
      25  4476.0  4598.0   0.973
      26  4674.0  4663.0   1.002
      27  4637.0  4695.0   0.988
      28  4747.0  4571.0   1.039
      29  4404.0  4257.0   1.035
      30  4287.0  4495.0   0.954
      31  4592.0  4492.0   1.022
      32  4428.0  4327.0   1.023
      33  4390.0  4496.0   0.976
      34  4583.0  4558.0   1.005
      35  4519.0  4436.0   1.019
      36  4419.0  4364.0   1.013
      37  4217.0  4190.0   1.006
      38  4233.0  4239.0   0.999
      39  4222.0  4228.0   0.999
      40  4229.0  4262.0   0.992
      41  4268.0  4147.0   1.029
      42  4136.0  4196.0   0.986
      43  4150.0  4086.0   1.016
      44  4177.0  4279.0   0.976
      45  4306.0  4176.0   1.031
      46  4076.0  3962.0   1.029
      47  3892.0  3933.0   0.990
      48  3908.0  3826.0   1.021
      49  3788.0  3650.0   1.038
      50  3632.0  3658.0   0.993
      51  3659.0  3622.0   1.010
      52  3656.0  3700.0   0.988
      53  3764.0  3725.0   1.010
      54  3700.0  3610.0   1.025
      55  3548.0  3460.0   1.025
      56  3426.0  3332.0   1.028
      57  3246.0  3188.0   1.018
      58  3188.0  3173.0   1.005
      59  3161.0  3109.0   1.017
      60  3074.0  3118.0   0.986
      61  3143.0  3180.0   0.988
      62  3180.0  3156.0   1.008


Run date 2022-01-19 12:09:23.883415
Sample 5

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  4037.0  4109.0   0.982
       2  4154.0  4216.0   0.985
       3  4220.0  4204.0   1.004
       4  4200.0  4203.0   0.999
       5  4227.0  4235.0   0.998
       6  4240.0  4270.0   0.993
       7  4308.0  4316.0   0.998
       8  4332.0  4352.0   0.995
       9  4356.0  4331.0   1.006
      10  4301.0  4269.0   1.007
      11  4256.0  4233.0   1.005
      12  4203.0  4171.0   1.008
      13  4155.0  4166.0   0.997
      14  4145.0  4124.0   1.005
      15  4100.0  4101.0   1.000
      16  4101.0  4123.0   0.995
      17  4119.0  4101.0   1.004
      18  4074.0  4064.0   1.002
      19  4066.0  4058.0   1.002
      20  4058.0  4020.0   1.009
      21  4008.0  3975.0   1.008
      22  3968.0  3953.0   1.004
      23  3918.0  3907.0   1.003
      24  3876.0  3816.0   1.016
      25  3757.0  3703.0   1.015
      26  3671.0  3626.0   1.012
      27  3615.0  3575.0   1.011
      28  3538.0  3508.0   1.009
      29  3481.0  3453.0   1.008
      30  3443.0  3455.0   0.997
      31  3438.0  3425.0   1.004
      32  3397.0  3357.0   1.012
      33  3361.0  3363.0   0.999
      34  3380.0  3375.0   1.001
      35  3336.0  3320.0   1.005
      36  3302.0  3292.0   1.003
      37  3275.0  3284.0   0.997
      38  3263.0  3250.0   1.004
      39  3204.0  3181.0   1.007
      40  3168.0  3142.0   1.008
      41  3138.0  3153.0   0.995
      42  3144.0  3130.0   1.004
      43  3081.0  3040.0   1.013
      44  3008.0  2977.0   1.010
      45  2965.0  2972.0   0.998
      46  3002.0  2988.0   1.005
      47  2987.0  2966.0   1.007
      48  2932.0  2914.0   1.006
      49  2893.0  2872.0   1.007
      50  2891.0  2885.0   1.002
      51  2874.0  2864.0   1.003
      52  2857.0  2833.0   1.008
      53  2825.0  2827.0   0.999
      54  2790.0  2763.0   1.010
      55  2766.0  2765.0   1.000
      56  2776.0  2767.0   1.003
      57  2777.0  2748.0   1.011
      58  2691.0  2646.0   1.017
      59  2624.0  2615.0   1.003
      60  2577.0  2562.0   1.006
      61  2531.0  2504.0   1.011
      62  2464.0  2421.0   1.018

