
Run date 2022-01-18 15:47:28.418035
Sample 13

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  4341.0  3907.0   1.111
       2  3434.0  3318.0   1.035
       3  2978.0  2812.0   1.059
       4  2673.0  2566.0   1.042
       5  2339.0  2082.0   1.123
       6  1837.0  1595.0   1.152
       7  1354.0  1153.0   1.174
       8  1062.0   921.0   1.153
       9   833.0   761.0   1.095
      10   657.0   574.0   1.145
      11  1706.0  1473.0   1.158
      12  1290.0  1183.0   1.090
      13  1095.0  1019.0   1.075
      14   951.0   908.0   1.047
      15   854.0   852.0   1.002
      16  2567.0  2573.0   0.998
      17  2621.0  2677.0   0.979
      18  2731.0  2694.0   1.014
      19  2708.0  2631.0   1.029
      20  2605.0  2653.0   0.982
      21  2736.0  2681.0   1.021
      22  2678.0  2699.0   0.992
      23  2606.0  2506.0   1.040
      24  2493.0  2391.0   1.043
      25  2327.0  2276.0   1.022
      26  2187.0  2211.0   0.989
      27  2121.0  2011.0   1.055
      28  1918.0  1830.0   1.048
      29  1736.0  1633.0   1.063
      30  1519.0  1516.0   1.002
      31  1483.0  1426.0   1.040
      32  1343.0  1284.0   1.046
      33  1276.0  1238.0   1.031
      34  1206.0  1144.0   1.054
      35  2440.0  3483.0   0.701
      36  3516.0  3289.0   1.069
      37  3189.0  3126.0   1.020
      38  3022.0  3072.0   0.984
      39  3090.0  3039.0   1.017
      40  2937.0  2993.0   0.981
      41  3101.0  3069.0   1.010
      42  2956.0  2879.0   1.027
      43  2842.0  2743.0   1.036
      44  2699.0  2628.0   1.027
      45  2515.0  2298.0   1.094
      46  2111.0  1928.0   1.095
      47  1773.0  1640.0   1.081
      48  1541.0  1499.0   1.028
      49  1458.0  1351.0   1.079
      50  1244.0  1176.0   1.058
      51  1112.0  1072.0   1.037
      52  1019.0   972.0   1.048
      53  3792.0  3103.0   1.222
      54  1121.0  1087.0   1.031
      55  1064.0  1048.0   1.015
      56  1005.0   974.0   1.032
      57   964.0   933.0   1.033
      58   905.0   871.0   1.039
      59   863.0   844.0   1.023
      60   800.0   786.0   1.018
      61   795.0   813.0   0.978
      62   830.0   840.0   0.988


Run date 2022-01-19 13:36:31.172504
Sample 11

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  2456.0  2507.0   0.980
       2  2621.0  2510.0   1.044
       3  2460.0  2343.0   1.050
       4  2222.0  2207.0   1.007
       5  2234.0  2085.0   1.071
       6  2069.0  2012.0   1.028
       7  2061.0  1990.0   1.036
       8  1994.0  2037.0   0.979
       9  2208.0  2219.0   0.995
      10  2124.0  2063.0   1.030
      11  1955.0  1931.0   1.012
      12  1880.0  1858.0   1.012
      13  1847.0  1796.0   1.028
      14  1749.0  1745.0   1.002
      15  1762.0  1715.0   1.027
      16  1787.0  1717.0   1.041
      17  1689.0  1703.0   0.992
      18  1671.0  1703.0   0.981
      19  1604.0  1555.0   1.032
      20  1555.0  1464.0   1.062
      21  1377.0  1402.0   0.982
      22  1405.0  1373.0   1.023
      23  1311.0  1319.0   0.994
      24  1306.0  1305.0   1.001
      25  1291.0  1283.0   1.006
      26  1347.0  1282.0   1.051
      27  1277.0  1219.0   1.048
      28  1193.0  1216.0   0.981
      29  1253.0  1174.0   1.067
      30  1166.0  1132.0   1.030
      31  1141.0  1080.0   1.056
      32  3494.0  3480.0   1.004
      33  3553.0  3484.0   1.020
      34  3406.0  3319.0   1.026
      35  3078.0  3043.0   1.012
      36  3201.0  3014.0   1.062
      37  2901.0  2945.0   0.985
      38  2987.0  2994.0   0.998
      39  2832.0  2857.0   0.991
      40  2957.0  2916.0   1.014
      41  2991.0  3033.0   0.986
      42  3012.0  2901.0   1.038
      43  3102.0  3181.0   0.975
      44  3197.0  3134.0   1.020
      45  3199.0  3235.0   0.989
      46  3363.0  3459.0   0.972
      47  3528.0  3572.0   0.988
      48  3410.0  3354.0   1.017
      49  3237.0  3237.0   1.000
      50  3287.0  3345.0   0.983
      51  3389.0  3423.0   0.990
      52  3411.0  3450.0   0.989
      53  3485.0  3367.0   1.035
      54  3398.0  3309.0   1.027
      55  3357.0  3498.0   0.960
      56  3387.0  3345.0   1.013
      57  3497.0  3563.0   0.981
      58  3584.0  3706.0   0.967
      59  3828.0  3881.0   0.986
      60  3788.0  3789.0   1.000
      61  3718.0  3977.0   0.935
      62  4091.0  3972.0   1.030

