
Run date 2022-01-19 10:04:44.794877
Sample 22

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  3054.0  3105.0   0.984
       2  3139.0  3171.0   0.990
       3  3211.0  3242.0   0.990
       4  3266.0  3285.0   0.994
       5  3277.0  3286.0   0.997
       6  3297.0  3307.0   0.997
       7  3307.0  3333.0   0.992
       8  3363.0  3383.0   0.994
       9  3396.0  3412.0   0.995
      10  3456.0  3483.0   0.992
      11  3508.0  3533.0   0.993
      12  3565.0  3581.0   0.996
      13  3591.0  3600.0   0.998
      14  3601.0  3610.0   0.998
      15  3634.0  3638.0   0.999
      16  3655.0  3670.0   0.996
      17  3679.0  3672.0   1.002
      18  3663.0  3657.0   1.002
      19  3656.0  3652.0   1.001
      20  3634.0  3608.0   1.007
      21  3577.0  3543.0   1.010
      22  3497.0  3445.0   1.015
      23  3418.0  3387.0   1.009
      24  3363.0  3329.0   1.010
      25  3317.0  3303.0   1.004
      26  3285.0  3285.0   1.000
      27  3277.0  3276.0   1.000
      28  3289.0  3300.0   0.997
      29  3312.0  3315.0   0.999
      30  3330.0  3341.0   0.997
      31  3346.0  3359.0   0.996
      32  3363.0  3369.0   0.998
      33  3373.0  3369.0   1.001
      34  3372.0  3392.0   0.994
      35  3401.0  3402.0   1.000
      36  3391.0  3378.0   1.004
      37  3361.0  3330.0   1.009
      38  3309.0  3282.0   1.008
      39  3246.0  3202.0   1.014
      40  3156.0  3099.0   1.018
      41  3047.0  2985.0   1.021
      42  2938.0  2878.0   1.021
      43  2815.0  2763.0   1.019
      44  2701.0  2629.0   1.027
      45  2553.0  2470.0   1.034
      46  2388.0  2299.0   1.039
      47  2208.0  2119.0   1.042
      48  1959.0  1878.0   1.043
      49  1923.0  1857.0   1.036
      50  1792.0  1724.0   1.039
      51  1664.0  1620.0   1.027
      52  1570.0  1525.0   1.030
      53  1486.0  1456.0   1.021
      54  1432.0  1406.0   1.018
      55  1381.0  1352.0   1.021
      56  1323.0  1298.0   1.019
      57  1273.0  1252.0   1.017
      58  1229.0  1207.0   1.018
      59  1183.0  1155.0   1.024
      60  1127.0  1102.0   1.023
      61  1078.0  1058.0   1.019
      62  1035.0  1017.0   1.018

