
Run date 2022-01-19 17:12:34.025744
Sample 11

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  1522.0  1512.0   1.007
       2  1529.0  1587.0   0.963
       3  1506.0  1608.0   0.937
       4  1576.0  1582.0   0.996
       5  1565.0  1565.0   1.000
       6  1572.0  1647.0   0.954
       7  1614.0  1667.0   0.968
       8  1738.0  1568.0   1.108
       9  1657.0  1640.0   1.010
      10  1638.0  1717.0   0.954
      11  1678.0  1704.0   0.985
      12  1582.0  1594.0   0.992
      13  1675.0  1677.0   0.999
      14  1691.0  1761.0   0.960
      15  1754.0  1698.0   1.033
      16  1643.0  1722.0   0.954
      17  1634.0  1635.0   0.999
      18  1591.0  1588.0   1.002
      19  1642.0  1691.0   0.971
      20  1578.0  1818.0   0.868
      21  1947.0  1849.0   1.053
      22  1750.0  1724.0   1.015
      23  1838.0  1893.0   0.971
      24  1719.0  1581.0   1.087
      25  1686.0  1605.0   1.050
      26  1625.0  1682.0   0.966
      27  1684.0  1677.0   1.004
      28  1740.0  1622.0   1.073
      29  1840.0  1727.0   1.065
      30  1706.0  1641.0   1.040
      31  1579.0  1681.0   0.939
      32  1736.0  1664.0   1.043
      33  1641.0  1595.0   1.029
      34  1650.0  1771.0   0.932
      35  1694.0  1602.0   1.057
      36  1602.0  1587.0   1.009
      37  1599.0  1609.0   0.994
      38  1584.0  1664.0   0.952
      39  1684.0  1729.0   0.974
      40  1676.0  1665.0   1.007
      41  1539.0  1583.0   0.972
      42  1594.0  1585.0   1.006
      43  1669.0  1703.0   0.980
      44  1688.0  1662.0   1.016
      45  1622.0  1568.0   1.034
      46  1583.0  1569.0   1.009
      47  1606.0  1538.0   1.044
      48  1572.0  1552.0   1.013
      49  1527.0  1531.0   0.997
      50  1553.0  1491.0   1.042
      51  1616.0  1758.0   0.919
      52  1725.0  1561.0   1.105
      53  1547.0  1559.0   0.992
      54  1475.0  1494.0   0.987
      55  1561.0  1644.0   0.950
      56  1653.0  1640.0   1.008
      57  1583.0  1584.0   0.999
      58  1541.0  1553.0   0.992
      59  1602.0  1545.0   1.037
      60  1607.0  1573.0   1.022
      61  1579.0  1593.0   0.991
      62  1533.0  1553.0   0.987

