
Run date 2022-01-19 09:23:04.384968
Sample 29

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  3618.0  3665.0   0.987
       2  3721.0  3775.0   0.986
       3  3847.0  3907.0   0.985
       4  3956.0  3991.0   0.991
       5  4019.0  4053.0   0.992
       6  4075.0  4091.0   0.996
       7  4090.0  4077.0   1.003
       8  4060.0  4052.0   1.002
       9  4036.0  4006.0   1.007
      10  3976.0  3929.0   1.012
      11  3884.0  3838.0   1.012
      12  3787.0  3745.0   1.011
      13  3704.0  3657.0   1.013
      14  3592.0  3523.0   1.020
      15  3459.0  3402.0   1.017
      16  3350.0  3299.0   1.015
      17  3243.0  3185.0   1.018
      18  3189.0  3222.0   0.990
      19  3172.0  3294.0   0.963
      20  3408.0  3456.0   0.986
      21  3455.0  3452.0   1.001
      22  3436.0  3418.0   1.005
      23  3384.0  3349.0   1.010
      24  3316.0  3285.0   1.009
      25  3252.0  3212.0   1.012
      26  3169.0  3135.0   1.011
      27  3093.0  3057.0   1.012
      28  3018.0  2982.0   1.012
      29  2949.0  2909.0   1.014
      30  2869.0  2829.0   1.014
      31  2789.0  2744.0   1.016
      32  2694.0  2647.0   1.018
      33  2599.0  2552.0   1.018
      34  2508.0  2461.0   1.019
      35  2417.0  2380.0   1.016
      36  2338.0  2292.0   1.020
      37  2249.0  2207.0   1.019
      38  2162.0  2114.0   1.023
      39  2069.0  2028.0   1.020
      40  1988.0  1948.0   1.021
      41  1910.0  1879.0   1.016
      42  1846.0  1814.0   1.018
      43  1788.0  1761.0   1.015
      44  1730.0  1700.0   1.018
      45  1685.0  1638.0   1.029
      46  1646.0  1621.0   1.015
      47  1596.0  1572.0   1.015
      48  1552.0  1533.0   1.012
      49  1518.0  1503.0   1.010
      50  1487.0  1473.0   1.010
      51  1457.0  1442.0   1.010
      52  1426.0  1410.0   1.011
      53  1388.0  1366.0   1.016
      54  1349.0  1331.0   1.014
      55  1314.0  1292.0   1.017
      56  1273.0  1254.0   1.015
      57  1238.0  1222.0   1.013
      58  1206.0  1191.0   1.013
      59  1179.0  1162.0   1.015
      60  1148.0  1094.0   1.049
      61  1089.0  1073.0   1.015
      62  1057.0  1040.0   1.016

