
Run date 2022-01-18 19:19:28.108007
Sample 23

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  3066.0   689.0   4.450
       2  1078.0   584.0   1.846
       3  1360.0   973.0   1.398
       4  2172.0  1691.0   1.284
       5  1449.0  1386.0   1.045
       6  1306.0  1221.0   1.070
       7  1771.0  1992.0   0.889
       8  2010.0  1662.0   1.209
       9  1506.0  1431.0   1.052
      10  1358.0  1349.0   1.007
      11  1345.0  1329.0   1.012
      12  1324.0  1326.0   0.998
      13  1305.0  1271.0   1.027
      14  1282.0  1332.0   0.962
      15  1412.0  1427.0   0.989
      16  1455.0  1476.0   0.986
      17  1496.0  1494.0   1.001
      18  1376.0  1296.0   1.062
      19  1276.0  1307.0   0.976
      20  1357.0  1293.0   1.049
      21  1266.0  1340.0   0.945
      22  1356.0  1419.0   0.956
      23  1295.0  1189.0   1.089
      24  1134.0  1146.0   0.990
      25  1178.0  1156.0   1.019
      26  1020.0   889.0   1.147
      27   749.0   690.0   1.086
      28   699.0   730.0   0.958
      29   170.0  1733.0   0.098
      30  1474.0  1472.0   1.001
      31  1395.0  1366.0   1.021
      32
