
Run date 2022-01-19 10:44:09.890547
Sample 24

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  6692.0  6715.0   0.997
       2  6871.0  7005.0   0.981
       3  7056.0  7084.0   0.996
       4  7145.0  7210.0   0.991
       5  7067.0  6893.0   1.025
       6  6876.0  6849.0   1.004
       7  6713.0  6560.0   1.023
       8  6382.0  6271.0   1.018
       9  6165.0  6042.0   1.020
      10  5920.0  5773.0   1.025
      11  5560.0  5381.0   1.033
      12  5278.0  5201.0   1.015
      13  5083.0  4921.0   1.033
      14  4725.0  4401.0   1.074
      15  4033.0  3703.0   1.089
      16  3472.0  3323.0   1.045
      17  3221.0  3121.0   1.032
      18  2948.0  2811.0   1.049
      19  2718.0  2702.0   1.006
      20  2647.0  2582.0   1.025
      21  2548.0  2488.0   1.024
      22  2414.0  2316.0   1.042
      23  2249.0  2228.0   1.009
      24  2192.0  2099.0   1.044
      25  2021.0  1946.0   1.039
      26  1877.0  1821.0   1.031
      27  1805.0  1755.0   1.028
      28  1674.0  1612.0   1.038
      29  1569.0  1548.0   1.014
      30  1520.0  1490.0   1.020
      31  1441.0  1406.0   1.025
      32  1376.0  1331.0   1.034
      33  1288.0  1228.0   1.049
      34  1176.0  1130.0   1.041
      35  1099.0  1078.0   1.019
      36  1060.0  1050.0   1.010
      37  1013.0   951.0   1.065
      38   891.0   845.0   1.054
      39  2548.0  2552.0   0.998
      40  2579.0  2678.0   0.963
      41  2697.0  2714.0   0.994
      42  2783.0  2959.0   0.941
      43  3234.0  3543.0   0.913
      44  3990.0  4572.0   0.873
      45  5192.0  5950.0   0.873
      46  6465.0  6956.0   0.929
      47  7358.0  7564.0   0.973
      48  7210.0  6428.0   1.122
      49  6281.0  6080.0   1.033
      50  5854.0  5874.0   0.997
      51  5941.0  6062.0   0.980
      52  6215.0  6072.0   1.024
      53  5386.0  5005.0   1.076
      54  4755.0  4397.0   1.081
      55  4169.0  3736.0   1.116
      56  3364.0  3181.0   1.058
      57  3092.0  3093.0   1.000
      58  3056.0  2924.0   1.045
      59  2578.0  2318.0   1.112
      60  2143.0  1944.0   1.102
      61  1780.0  1626.0   1.095
      62  1554.0  1522.0   1.021

