
Run date 2022-01-18 19:47:28.079491
Sample 26

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  3043.0  2039.0   1.492
       2  1539.0  1253.0   1.228
       3   971.0   803.0   1.209
       4   665.0   584.0   1.139
       5  1402.0  1187.0   1.181
       6  2322.0  5223.0   0.445
       7  4728.0  4395.0   1.076
       8  4428.0  4191.0   1.057
       9  3685.0  3180.0   1.159
      10  2797.0  2588.0   1.081
      11  2575.0  2242.0   1.149
      12  2347.0  2023.0   1.160
      13  1862.0  1853.0   1.005
      14  1779.0  1667.0   1.067
      15  1655.0  1480.0   1.118
      16  1351.0  1276.0   1.059
      17  1133.0  1027.0   1.103
      18  1005.0   972.0   1.034
      19  1017.0  3233.0   0.315
      20  4005.0  3538.0   1.132
      21  3573.0  3555.0   1.005
      22  3444.0  3112.0   1.107
      23  2740.0  2526.0   1.085
      24  2327.0  2053.0   1.133
      25  2065.0  2007.0   1.029
      26  1927.0  1873.0   1.029
      27  1719.0  1766.0   0.973
      28  1773.0  1656.0   1.071
      29  1691.0  1585.0   1.067
      30  1603.0  1534.0   1.045
      31  1607.0  1527.0   1.052
      32
