
Run date 2022-01-18 16:29:38.472532
Sample 15

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  3265.0  2771.0   1.178
       2  1876.0  1851.0   1.014
       3  1743.0  1263.0   1.380
       4   898.0  1102.0   0.815
       5  3157.0  2997.0   1.053
       6  4475.0  5328.0   0.840
       7  6281.0  4685.0   1.341
       8  4195.0  4252.0   0.987
       9  4718.0  4226.0   1.116
      10  4892.0  5847.0   0.837
      11  5961.0  5701.0   1.046
      12  5652.0  5352.0   1.056
      13  4958.0  4659.0   1.064
      14  4509.0  4429.0   1.018
      15  4554.0  4308.0   1.057
      16  3793.0  3472.0   1.092
      17  3006.0  2566.0   1.171
      18  2348.0  2048.0   1.146
      19  1712.0  1598.0   1.071
      20  1478.0  1448.0   1.021
      21  1414.0  1314.0   1.076
      22  1195.0  1123.0   1.064
      23  1079.0  1087.0   0.993
      24  1024.0   957.0   1.070
      25  2933.0  2799.0   1.048
      26  2672.0  3082.0   0.867
      27  2819.0  2747.0   1.026
      28  2610.0  2519.0   1.036
      29  2539.0  2305.0   1.102
      30  2565.0  2157.0   1.189
      31  2141.0  2163.0   0.990
      32  2241.0  2085.0   1.075
      33  1890.0  1881.0   1.005
      34  1651.0  1583.0   1.043
      35  1567.0  1552.0   1.010
      36  1391.0  1414.0   0.984
      37  1169.0  1205.0   0.970
      38  1150.0  1049.0   1.096
      39   969.0   945.0   1.025
      40  2970.0  3772.0   0.787
      41  4194.0  3825.0   1.096
      42  3855.0  3928.0   0.981
      43  4108.0  3780.0   1.087
      44  3932.0  3979.0   0.988
      45  3990.0  3630.0   1.099
      46  3416.0  3447.0   0.991
      47  3344.0  3369.0   0.993
      48  3261.0  3437.0   0.949
      49  3488.0  3560.0   0.980
      50  3477.0  3909.0   0.889
      51  3743.0  3599.0   1.040
      52  3625.0  3759.0   0.964
      53  3815.0  3605.0   1.058
      54  3291.0  3473.0   0.948
      55  3699.0  3378.0   1.095
      56  3301.0  3310.0   0.997
      57  3052.0  2960.0   1.031
      58  2760.0  2740.0   1.007
      59  2631.0  2781.0   0.946
      60  2613.0  2775.0   0.942
      61  2654.0  2732.0   0.971
      62  2812.0  3006.0   0.935


Run date 2022-01-19 14:18:00.145653
Sample 15

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  2761.0  2675.0   1.032
       2  2838.0  2941.0   0.965
       3  2617.0  2409.0   1.086
       4  2524.0  2417.0   1.044
       5  2529.0  2654.0   0.953
       6  2512.0  2181.0   1.152
       7  2651.0  2402.0   1.104
       8  2365.0  2600.0   0.910
       9  2561.0  2516.0   1.018
      10  2351.0  2272.0   1.035
      11  2609.0  2542.0   1.026
      12  2605.0  2573.0   1.012
      13  2592.0  2656.0   0.976
      14  2488.0  2746.0   0.906
      15  3070.0  2969.0   1.034
      16  2844.0  2896.0   0.982
      17  2727.0  2721.0   1.002
      18  2967.0  2923.0   1.015
      19  2856.0  3219.0   0.887
      20  3346.0  3151.0   1.062
      21  3406.0  3340.0   1.020
      22  3052.0  3227.0   0.946
      23  3246.0  3180.0   1.021
      24  3160.0  3399.0   0.930
      25  3646.0  3736.0   0.976
      26  3468.0  3270.0   1.061
      27  3639.0  3312.0   1.099
      28  3323.0  3602.0   0.923
      29  3652.0  3509.0   1.041
      30  3340.0  3138.0   1.064
      31  3110.0  3487.0   0.892
      32  3514.0  3650.0   0.963
      33  3766.0  3678.0   1.024
      34  3486.0  3434.0   1.015
      35  3428.0  3310.0   1.036
      36  3579.0  3810.0   0.939
      37  3857.0  3496.0   1.103
      38  3704.0  3794.0   0.976
      39  3503.0  3548.0   0.987
      40  3450.0  3447.0   1.001
      41  3669.0  3737.0   0.982
      42  3532.0  3353.0   1.053
      43  3163.0  3379.0   0.936
      44  3283.0  3319.0   0.989
      45  3295.0  3233.0   1.019
      46  3251.0  3273.0   0.993
      47  3035.0  3057.0   0.993
      48  3334.0  3435.0   0.971
      49  3053.0  3272.0   0.933
      50  3386.0  3278.0   1.033
      51  3184.0  3167.0   1.005
      52  3364.0  3575.0   0.941
      53  3614.0  3498.0   1.033
      54  3550.0  3537.0   1.004
      55  3409.0  3453.0   0.987
      56  3484.0  3274.0   1.064
      57  3279.0  3096.0   1.059
      58  2894.0  3081.0   0.939
      59  3197.0  3461.0   0.924
      60  3534.0  3527.0   1.002
      61  3057.0  2857.0   1.070
      62  2945.0  3145.0   0.936

