
Run date 2022-01-18 15:07:35.710352
Sample 11

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  6367.0  4223.0   1.508
       2  3234.0  2704.0   1.196
       3  2461.0  2142.0   1.149
       4  1871.0  1708.0   1.095
       5  1523.0  1399.0   1.089
       6  1175.0   930.0   1.263
       7  2327.0  2008.0   1.159
       8  3948.0  4613.0   0.856
       9  4353.0  4053.0   1.074
      10  3712.0  3299.0   1.125
      11  2889.0  2510.0   1.151
      12  2244.0  2113.0   1.062
      13  2026.0  1903.0   1.065
      14  1847.0  1776.0   1.040
      15  5612.0  5460.0   1.028
      16  5390.0  5267.0   1.023
      17  6749.0  6588.0   1.024
      18  6374.0  6241.0   1.021
      19  6045.0  5720.0   1.057
      20  5473.0  5252.0   1.042
      21  4926.0  4804.0   1.025
      22  4694.0  4622.0   1.016
      23  4525.0  4328.0   1.046
      24  4154.0  4026.0   1.032
      25  3829.0  3762.0   1.018
      26  3748.0  3669.0   1.022
      27  3634.0  3584.0   1.014
      28  3546.0  3575.0   0.992
      29  3511.0  3471.0   1.012
      30  3454.0  3515.0   0.983
      31  3540.0  3514.0   1.007
      32  3430.0  3341.0   1.027
      33  3270.0  3203.0   1.021
      34  3169.0  3174.0   0.998
      35  3160.0  3110.0   1.016
      36  3044.0  3018.0   1.009
      37  2875.0  2768.0   1.039
      38  2733.0  3661.0   0.747
      39  3683.0  3667.0   1.004
      40  3679.0  3549.0   1.037
      41  3540.0  3590.0   0.986
      42  3500.0  3431.0   1.020
      43  3401.0  3330.0   1.021
      44  3253.0  3119.0   1.043
      45  3009.0  2961.0   1.016
      46  2899.0  2904.0   0.998
      47  2813.0  2637.0   1.067
      48  2560.0  2417.0   1.059
      49  2419.0  2333.0   1.037
      50  2263.0  2210.0   1.024
      51  1949.0  1809.0   1.077
      52  1755.0  1464.0   1.199
      53  1522.0  1512.0   1.007
      54  1435.0  1340.0   1.071
      55  1290.0  1247.0   1.034
      56  1204.0  1103.0   1.092
      57   955.0   865.0   1.104
      58   797.0   783.0   1.018
      59   741.0   699.0   1.060
      60   664.0   639.0   1.039
      61   587.0   515.0   1.140
      62   482.0   482.0   1.000

