
Run date 2022-01-18 14:27:03.465934
Sample 10

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  7077.0  7627.0   0.928
       2  7008.0  6899.0   1.016
       3  6403.0  6519.0   0.982
       4  6494.0  6613.0   0.982
       5  6320.0  6003.0   1.053
       6  6283.0  5931.0   1.059
       7  5881.0  6126.0   0.960
       8  6340.0  6490.0   0.977
       9  6695.0  6489.0   1.032
      10  6708.0  7213.0   0.930
      11  8034.0  8229.0   0.976
      12  7651.0  7268.0   1.053
      13  7361.0  7495.0   0.982
      14  6950.0  6920.0   1.004
      15  7531.0  6966.0   1.081
      16  6036.0  5688.0   1.061
      17  6307.0  6511.0   0.969
      18  6280.0  6485.0   0.968
      19  6594.0  6531.0   1.010
      20  6270.0  6315.0   0.993
      21  6175.0  5638.0   1.095
      22  5613.0  5435.0   1.033
      23  5136.0  5087.0   1.010
      24  5085.0  6094.0   0.834
      25  6557.0  7081.0   0.926
      26  7040.0  6810.0   1.034
      27  6532.0  6465.0   1.010
      28  6174.0  5225.0   1.182
      29  5153.0  5698.0   0.904
      30  5900.0  5946.0   0.992
      31  5646.0  5486.0   1.029
      32  6081.0  5980.0   1.017
      33  5729.0  5293.0   1.082
      34  5622.0  6260.0   0.898
      35  6212.0  6240.0   0.996
      36  5874.0  5562.0   1.056
      37  5122.0  4867.0   1.052
      38  5133.0  5248.0   0.978
      39  4846.0  5364.0   0.903
      40  5623.0  5709.0   0.985
      41  5972.0  5892.0   1.014
      42  5484.0  5785.0   0.948
      43  5395.0  5107.0   1.056
      44  4980.0  4772.0   1.044
      45  5336.0  6042.0   0.883
      46  6125.0  5584.0   1.097
      47  5410.0  6089.0   0.888
      48  6989.0  6771.0   1.032
      49  6752.0  6093.0   1.108
      50  5690.0  5503.0   1.034
      51  5431.0  5361.0   1.013
      52  5112.0  5311.0   0.963
      53  5461.0  5460.0   1.000
      54  5624.0  5491.0   1.024
      55  5354.0  5134.0   1.043
      56  5118.0  5008.0   1.022
      57  5294.0  5194.0   1.019
      58  5537.0  5764.0   0.961
      59  5504.0  5315.0   1.036
      60  5244.0  5388.0   0.973
      61  5509.0  5321.0   1.035
      62  5286.0  5279.0   1.001


Run date 2022-01-19 12:55:18.928323
Sample 7

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  4191.0  4157.0   1.008
       2  4109.0  4035.0   1.018
       3  4165.0  4390.0   0.949
       4  4239.0  4235.0   1.001
       5  4392.0  4771.0   0.921
       6  5069.0  5105.0   0.993
       7  4946.0  4801.0   1.030
       8  4759.0  4872.0   0.977
       9  5089.0  5091.0   1.000
      10  4955.0  5011.0   0.989
      11  5014.0  5421.0   0.925
      12  5409.0  5362.0   1.009
      13  5521.0  5155.0   1.071
      14  4730.0  4777.0   0.990
      15  4927.0  4646.0   1.060
      16  4510.0  4535.0   0.994
      17  4605.0  4417.0   1.043
      18  4585.0  4761.0   0.963
      19  4399.0  4236.0   1.038
      20  4149.0  4470.0   0.928
      21  4609.0  4854.0   0.950
      22  4753.0  5181.0   0.917
      23  5563.0  5582.0   0.997
      24  5769.0  5737.0   1.006
      25  5476.0  5664.0   0.967
      26  5588.0  5503.0   1.015
      27  5281.0  4876.0   1.083
      28  4784.0  4547.0   1.052
      29  4392.0  4077.0   1.077
      30  3891.0  3538.0   1.100
      31  4567.0  4953.0   0.922
      32  5129.0  4810.0   1.066
      33  4489.0  4387.0   1.023
      34  4016.0  4033.0   0.996
      35  3892.0  3826.0   1.017
      36  3754.0  3703.0   1.014
      37  3685.0  3792.0   0.972
      38  3678.0  3351.0   1.098
      39  3182.0  2970.0   1.071
      40  2835.0  2810.0   1.009
      41  2692.0  2708.0   0.994
      42  2623.0  2657.0   0.987
      43  2642.0  2556.0   1.034
      44  2638.0  2544.0   1.037
      45  2640.0  2471.0   1.068
      46  2538.0  2407.0   1.054
      47  2422.0  2358.0   1.027
      48  2354.0  2208.0   1.066
      49  2061.0  2035.0   1.013
      50  2058.0  1881.0   1.094
      51  1717.0  1875.0   0.916
      52  1684.0  1631.0   1.032
      53  1680.0  1730.0   0.971
      54  1728.0  1716.0   1.007
      55  1618.0  1588.0   1.019
      56  1495.0  1455.0   1.027
      57  1481.0  1392.0   1.064
      58  1432.0  1355.0   1.057
      59  1424.0  1328.0   1.072
      60  1286.0  1406.0   0.915
      61  1374.0  1328.0   1.035
      62  1324.0  1254.0   1.056

