
Run date 2022-01-18 12:28:00.281835
Sample 4

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  8558.0  8604.0   0.995
       2  8641.0  8769.0   0.985
       3  8887.0  8913.0   0.997
       4  8844.0  8781.0   1.007
       5  8880.0  8888.0   0.999
       6  8809.0  8851.0   0.995
       7  8902.0  8933.0   0.997
       8  8796.0  8780.0   1.002
       9  8818.0  8780.0   1.004
      10  8786.0  8684.0   1.012
      11  8659.0  8663.0   1.000
      12  8589.0  8589.0   1.000
      13  8394.0  8384.0   1.001
      14  8482.0  8552.0   0.992
      15  8671.0  8789.0   0.987
      16  8816.0  8590.0   1.026
      17  8389.0  8095.0   1.036
      18  7989.0  8053.0   0.992
      19  8007.0  8137.0   0.984
      20  7819.0  7701.0   1.015
      21  7773.0  7919.0   0.982
      22  7890.0  7846.0   1.006
      23  7613.0  8055.0   0.945
      24  7964.0  7789.0   1.022
      25  7566.0  7589.0   0.997
      26  7696.0  7614.0   1.011
      27  7490.0  7380.0   1.015
      28  7458.0  7513.0   0.993
      29  7501.0  7510.0   0.999
      30  7554.0  7389.0   1.022
      31  7255.0  7229.0   1.004
      32  7334.0  7451.0   0.984
      33  7503.0  7335.0   1.023
      34  7215.0  7112.0   1.014
      35  7090.0  7020.0   1.010
      36  6948.0  7026.0   0.989
      37  7142.0  7128.0   1.002
      38  7049.0  6853.0   1.029
      39  6845.0  6767.0   1.012
      40  6691.0  6572.0   1.018
      41  6563.0  6636.0   0.989
      42  6723.0  6676.0   1.007
      43  6637.0  6521.0   1.018
      44  6476.0  6399.0   1.012
      45  6327.0  6250.0   1.012
      46  6222.0  6077.0   1.024
      47  6085.0  6137.0   0.992
      48  6186.0  6105.0   1.013
      49  6066.0  6041.0   1.004
      50  5986.0  5979.0   1.001
      51  5922.0  5883.0   1.007
      52  5914.0  6061.0   0.976
      53  6008.0  5858.0   1.026
      54  5778.0  5842.0   0.989
      55  5888.0  5849.0   1.007
      56  5788.0  5801.0   0.998
      57  5804.0  5836.0   0.995
      58  5843.0  5953.0   0.982
      59  5949.0  5956.0   0.999
      60  5938.0  5858.0   1.014
      61  5850.0  5756.0   1.016
      62  5688.0  5757.0   0.988


Run date 2022-01-19 11:26:15.334589
Sample 28

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  7201.0  6983.0   1.031
       2  6787.0  6571.0   1.033
       3  6329.0  6117.0   1.035
       4  5966.0  5745.0   1.038
       5  5612.0  5486.0   1.023
       6  5333.0  5191.0   1.027
       7  5079.0  4972.0   1.022
       8  4870.0  4747.0   1.026
       9  4628.0  4557.0   1.016
      10  4505.0  4452.0   1.012
      11  4387.0  4321.0   1.015
      12  4241.0  4192.0   1.012
      13  4166.0  4142.0   1.006
      14  4102.0  4062.0   1.010
      15  4019.0  3977.0   1.011
      16  3918.0  3875.0   1.011
      17  3851.0  3799.0   1.014
      18  5241.0  5052.0   1.037
      19  5182.0  5046.0   1.027
      20  4959.0  4899.0   1.012
      21  4841.0  4818.0   1.005
      22  4766.0  4729.0   1.008
      23  4686.0  4637.0   1.011
      24  4564.0  4544.0   1.004
      25  4517.0  4481.0   1.008
      26  4453.0  4425.0   1.006
      27  4404.0  4381.0   1.005
      28  4379.0  4360.0   1.004
      29  4336.0  4319.0   1.004
      30  4265.0  4207.0   1.014
      31  4146.0  4086.0   1.015
      32  4047.0  4009.0   1.009
      33  3974.0  3962.0   1.003
      34  3945.0  3902.0   1.011
      35  3870.0  3826.0   1.012
      36  3786.0  3720.0   1.018
      37  3667.0  3640.0   1.007
      38  3600.0  3567.0   1.009
      39  3534.0  3503.0   1.009
      40  3469.0  3431.0   1.011
      41  3401.0  3381.0   1.006
      42  3333.0  3268.0   1.020
      43  3221.0  3172.0   1.015
      44  3126.0  3084.0   1.014
      45  3041.0  2991.0   1.017
      46  2957.0  2936.0   1.007
      47  2900.0  2861.0   1.014
      48  2848.0  2827.0   1.007
      49  2785.0  2733.0   1.019
      50  2673.0  2645.0   1.011
      51  2616.0  2605.0   1.004
      52  2582.0  2560.0   1.009
      53  2525.0  2494.0   1.012
      54  2462.0  2438.0   1.010
      55  2422.0  2402.0   1.008
      56  2384.0  2346.0   1.016
      57  2315.0  2296.0   1.008
      58  2272.0  2242.0   1.013
      59  2210.0  2181.0   1.013
      60  2162.0  2137.0   1.012
      61  2107.0  2078.0   1.014
      62  2063.0  2045.0   1.009

