
Run date 2022-01-18 17:11:48.048795
Sample 19

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  5099.0  6637.0   0.768
       2  8292.0  9359.0   0.886
       3  6425.0  8010.0   0.802
       4  7170.0  4990.0   1.437
       5  5348.0  6780.0   0.789
       6  6044.0  6748.0   0.896
       7  6325.0  7156.0   0.884
       8  7699.0  7940.0   0.970
       9  7039.0  6313.0   1.115
      10  5387.0  4497.0   1.198
      11  6555.0  5978.0   1.097
      12  6353.0  9191.0   0.691
      13  5909.0  4655.0   1.269
      14  3211.0  2481.0   1.294
      15  2140.0  1635.0   1.309
      16  1322.0  1402.0   0.943
      17  1405.0  1536.0   0.915
      18  1567.0  1356.0   1.156
      19  1467.0  1407.0   1.043
      20  1718.0  1753.0   0.980
      21  1442.0  1481.0   0.974
      22  1737.0  1279.0   1.358
      23  1102.0  1213.0   0.908
      24  1493.0  1721.0   0.868
      25  1710.0  1782.0   0.960
      26  1996.0  1923.0   1.038
      27  1874.0  1740.0   1.077
      28  1610.0  1484.0   1.085
      29  1482.0  1322.0   1.121
      30  1226.0  1166.0   1.051
      31  1137.0  1171.0   0.971
      32  1147.0  1089.0   1.053
      33  1092.0  1099.0   0.994
      34  1119.0  1006.0   1.112
      35   997.0   974.0   1.024
      36  1001.0  3320.0   0.302
      37  3300.0  3211.0   1.028
      38  3285.0  3338.0   0.984
      39  6962.0  6384.0   1.091
      40  6725.0  6739.0   0.998
      41  7855.0  7599.0   1.034
      42  7418.0  7612.0   0.975
      43  7563.0  7227.0   1.046
      44  6936.0  6410.0   1.082
      45  5877.0  5882.0   0.999
      46  6229.0  6119.0   1.018
      47  5866.0  5861.0   1.001
      48  5459.0  5221.0   1.046
      49  4997.0  5172.0   0.966
      50  5473.0  5252.0   1.042
      51  4877.0  5007.0   0.974
      52  4849.0  4844.0   1.001
      53  4845.0  5057.0   0.958
      54  4803.0  4672.0   1.028
      55  4655.0  4624.0   1.007
      56  4318.0  4138.0   1.043
      57  3998.0  3678.0   1.087
      58  3331.0  3247.0   1.026
      59  3266.0  3163.0   1.033
      60  3128.0  3110.0   1.006
      61  2986.0  3075.0   0.971
      62  3123.0  2752.0   1.135


Run date 2022-01-19 15:01:39.372985
Sample 18

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  6075.0  5865.0   1.036
       2  5597.0  5847.0   0.957
       3  5776.0  5543.0   1.042
       4  5751.0  5805.0   0.991
       5  5627.0  5813.0   0.968
       6  6138.0  5726.0   1.072
       7  5662.0  5124.0   1.105
       8  5380.0  5371.0   1.002
       9  5149.0  4978.0   1.034
      10  5288.0  5321.0   0.994
      11  4976.0  5218.0   0.954
      12  5091.0  4781.0   1.065
      13  4973.0  5159.0   0.964
      14  4877.0  4750.0   1.027
      15  4698.0  4897.0   0.959
      16  4934.0  4746.0   1.040
      17  4745.0  4402.0   1.078
      18  4689.0  4612.0   1.017
      19  4811.0  4699.0   1.024
      20  4612.0  4680.0   0.985
      21  4478.0  4415.0   1.014
      22  4497.0  4395.0   1.023
      23  4367.0  4514.0   0.967
      24  4325.0  4230.0   1.022
      25  4020.0  4391.0   0.916
      26  4040.0  3993.0   1.012
      27  3713.0  3794.0   0.979
      28  3759.0  3746.0   1.003
      29  3833.0  3731.0   1.027
      30  3636.0  3629.0   1.002
      31  3651.0  3542.0   1.031
      32  3374.0  3299.0   1.023
      33  3259.0  3299.0   0.988
      34  3431.0  3173.0   1.081
      35  3205.0  3093.0   1.036
      36  2993.0  3147.0   0.951
      37  3391.0  3326.0   1.020
      38  3135.0  3002.0   1.044
      39  2837.0  2870.0   0.989
      40  3108.0  2962.0   1.049
      41  2855.0  2961.0   0.964
      42  2800.0  2889.0   0.969
      43  3013.0  3055.0   0.986
      44  2947.0  2915.0   1.011
      45  2854.0  2922.0   0.977
      46  2907.0  3048.0   0.954
      47  3068.0  3011.0   1.019
      48  2903.0  2922.0   0.993
      49  2932.0  2887.0   1.016
      50  2733.0  2610.0   1.047
      51  2622.0  2834.0   0.925
      52  2910.0  2751.0   1.058
      53  2743.0  2759.0   0.994
      54  2598.0  2802.0   0.927
      55  2688.0  2649.0   1.015
      56  2563.0  2598.0   0.987
      57  2511.0  2419.0   1.038
      58  2483.0  2405.0   1.032
      59  2323.0  2270.0   1.023
      60  2308.0  2442.0   0.945
      61  2480.0  2620.0   0.947
      62  2671.0  2490.0   1.073

