
Run date 2022-01-18 13:47:58.002328
Sample 7

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  4126.0  3619.0   1.140
       2  3173.0  3382.0   0.938
       3  3415.0  3623.0   0.943
       4  3620.0  3172.0   1.141
       5  3392.0  3625.0   0.936
       6  4064.0  3897.0   1.043
       7  3790.0  3584.0   1.057
       8  3625.0  3641.0   0.996
       9  3360.0  3330.0   1.009
      10  3512.0  3255.0   1.079
      11  3045.0  3224.0   0.944
      12  2723.0  2771.0   0.983
      13  3114.0  3175.0   0.981
      14  3139.0  3026.0   1.037
      15  3097.0  3031.0   1.022
      16  3075.0  3038.0   1.012
      17  2988.0  2963.0   1.008
      18  2872.0  2930.0   0.980
      19  2766.0  2721.0   1.017
      20  2654.0  2676.0   0.992
      21  2733.0  2820.0   0.969
      22  2772.0  2747.0   1.009
      23  2706.0  2609.0   1.037
      24  2516.0  2493.0   1.009
      25  2529.0  2430.0   1.041
      26  2405.0  2402.0   1.001
      27  2379.0  2308.0   1.031
      28  2474.0  2315.0   1.069
      29  2269.0  2254.0   1.007
      30  2198.0  2097.0   1.048
      31  2036.0  2001.0   1.017
      32  1990.0  1956.0   1.017
      33  1916.0  1806.0   1.061
      34  1724.0  1727.0   0.998
      35  1774.0  1791.0   0.991
      36  1720.0  1684.0   1.021
      37  1633.0  1568.0   1.041
      38  1561.0  1511.0   1.033
      39  1484.0  1436.0   1.033
      40  1381.0  1291.0   1.070
      41  1192.0  1106.0   1.078
      42  1016.0   936.0   1.085
      43   879.0   839.0   1.048
      44  2357.0  2208.0   1.067
      45  2113.0  1999.0   1.057
      46  1924.0  1877.0   1.025
      47  2134.0  2467.0   0.865
      48  2433.0  2401.0   1.013
      49  2389.0  2359.0   1.013
      50  2339.0  2367.0   0.988
      51  2348.0  2326.0   1.009
      52  2317.0  2281.0   1.016
      53  2252.0  2203.0   1.022
      54  2170.0  2105.0   1.031
      55  2049.0  2040.0   1.004
      56  2067.0  2113.0   0.978
      57  2105.0  2013.0   1.046
      58  1938.0  1792.0   1.081
      59  1748.0  1685.0   1.037
      60  1643.0  1562.0   1.052
      61  1543.0  1459.0   1.058
      62  1378.0  1365.0   1.010

