
Run date 2022-01-18 11:50:15.653089
Sample 4

    Loop208PbF3A208PbF3B (Ratio)
 (Times)      10      10        
       1  6410.0  6508.0   0.985
       2  7148.0  6899.0   1.036
       3  6765.0  6599.0   1.025
       4  6678.0  6303.0   1.059
       5  6513.0  6680.0   0.975
       6  6748.0  6615.0   1.020
       7  6675.0  6541.0   1.020
       8  6643.0  6391.0   1.039
       9  6423.0  6281.0   1.023
      10  6331.0  5982.0   1.058
      11  5955.0  6038.0   0.986
      12  6095.0  6133.0   0.994
      13  6063.0  5812.0   1.043
      14  5659.0  5620.0   1.007
      15  5992.0  6137.0   0.976
      16  5852.0  5793.0   1.010
      17  5674.0  5731.0   0.990
      18  5570.0  5502.0   1.012
      19  5477.0  5498.0   0.996
      20  5477.0  5438.0   1.007
      21  5496.0  5261.0   1.045
      22  5159.0  5028.0   1.026
      23  5122.0  5006.0   1.023
      24  4842.0  4788.0   1.011
      25  4488.0  4873.0   0.921
      26  4895.0  5001.0   0.979
      27  5031.0  4959.0   1.015
      28  4573.0  4643.0   0.985
      29  4416.0  4385.0   1.007
      30  4411.0  4308.0   1.024
      31  4147.0  4307.0   0.963
      32  4272.0  4351.0   0.982
      33  4428.0  4456.0   0.994
      34  4490.0  4379.0   1.025
      35  4257.0  4187.0   1.017
      36  4127.0  4050.0   1.019
      37  3998.0  3782.0   1.057
      38  4205.0  4073.0   1.032
      39  4058.0  3817.0   1.063
      40  3679.0  3611.0   1.019
      41  3446.0  3549.0   0.971
      42  3498.0  3339.0   1.048
      43  3439.0  3365.0   1.022
      44  3400.0  3491.0   0.974
      45  3277.0  3330.0   0.984
      46  3328.0  3362.0   0.990
      47  3361.0  3310.0   1.015
      48  3110.0  3034.0   1.025
      49  3030.0  3077.0   0.985
      50  2929.0  2985.0   0.981
      51  2953.0  2976.0   0.992
      52  2970.0  2979.0   0.997
      53  2929.0  2867.0   1.022
      54  2882.0  2872.0   1.003
      55  2842.0  2815.0   1.010
      56  2776.0  2755.0   1.008
      57  2701.0  2673.0   1.010
      58  2648.0  2641.0   1.003
      59  2623.0  2580.0   1.017
      60  2562.0  2538.0   1.009
      61  2504.0  2499.0   1.002
      62  2468.0  2453.0   1.006

